subcategory,category
Acrobatics,Aerial
Hammock,Aerial
Kids,Aerial
Lycra,Aerial
Silks,Aerial
Yoga,Aerial
General,Aerial
Barre yoga,Barre
Cardio Barre,Barre
Fundamentals,Barre
Prenatal,Barre
General,Barre
AMRAP (As many reps as possible),Bootcamp
Bodyweight,Bootcamp
Equipment based,Bootcamp
HIIT (High-intensity interval training),Bootcamp
Military style,Bootcamp
Outdoor,Bootcamp
TRX (Total body resistance exercise),Bootcamp
General,Bootcamp
Boxing,Boxing / kickboxing
Fundamentals,Boxing / kickboxing
Kickboxing,Boxing / kickboxing
Power boxing,Boxing / kickboxing
Power kickboxing,Boxing / kickboxing
Sparring,Boxing / kickboxing
Wrestling,Boxing / kickboxing
General,Boxing / kickboxing
Bodyweight,Circuit training
Core,Circuit training
Full body,Circuit training
HIIT (High-intensity interval training),Circuit training
Kettlebell,Circuit training
Lower body,Circuit training
Plyometrics,Circuit training
Prenatal,Circuit training
TRX (Total body resistance exercise),Circuit training
Upper body,Circuit training
General,Circuit training
Competition,Crossfit
Fundamentals,Crossfit
Olympic lifting,Crossfit
Open gym,Crossfit
WOD (Workout of the day),Crossfit
General,Crossfit
Outdoor,Cycling
Rhythm cycling,Cycling
General,Cycling
Ballet,Dance
Ballroom,Dance
Belly dance,Dance
Contemporary,Dance
Drumming,Dance
Hip hop,Dance
Hooping,Dance
Hula,Dance
Jazzercise,Dance
Kids,Dance
Line dancing,Dance
Pole fitness,Dance
Salsa,Dance
Swing,Dance
Tango,Dance
Zumba,Dance
General,Dance
Aquatics,Gym classes
Barre,Gym classes
Boot camp,Gym classes
Cardio,Gym classes
Circuit training,Gym classes
Core,Gym classes
Cycling / Spin,Gym classes
Full body,Gym classes
Hooping,Gym classes
Interval training,Gym classes
Lower body,Gym classes
Open gym,Gym classes
Pilates,Gym classes
Step,Gym classes
Upper body,Gym classes
Weight training,Gym classes
Yoga,Gym classes
Zumba,Gym classes
General,Gym classes
Competitive,Gymnastics
Kids,Gymnastics
Trampoline,Gymnastics
Tricking,Gymnastics
Tumbling,Gymnastics
General,Gymnastics
AMRAP (As many reps as possible),Interval training
Bodyweight,Interval training
Drumming,Interval training
HIIT (High-intensity interval training),Interval training
Kettlebell,Interval training
Lower body,Interval training
Plyometrics,Interval training
Tabata,Interval training
TRX (Total Resistance eXercise),Interval training
Upper body,Interval training
General,Interval training
Grappling,Martial arts
Judo,Martial arts
Jiu jitsu,Martial arts
Karate,Martial arts
Kids,Martial arts
Krav Maga,Martial arts
Kung fu,Martial arts
MMA (Mixed Martial Arts),Martial arts
Self defense,Martial arts
Tai chi,Martial arts
Tricking,Martial arts
Wrestling,Martial arts
General,Martial arts
Boot camp,Outdoor
Circuit training,Outdoor
Interval training,Outdoor
Prenatal,Outdoor
Rock climbing,Outdoor
Running,Outdoor
Tai chi,Outdoor
Yoga,Outdoor
General,Outdoor
Bodybuilding,Personal training
Developmental,Personal training
Holistic,Personal training
Nutrition,Personal training
Prenatal,Personal training
Small Group,Personal training
General,Personal training
Contemporary Pilates,Pilates
Equipment,Pilates
Lagree,Pilates
Mat,Pilates
Piyo,Pilates
Prenatal,Pilates
Reformer,Pilates
Yogalates,Pilates
General,Pilates
General,Pole fitness
Fundamentals,Rock climbing
Hangboarding,Rock climbing
Kids,Rock climbing
Outdoor,Rock climbing
General,Rock climbing
Archery,Sports
Conditioning,Sports
Fencing,Sports
Kids,Sports
Performance training,Sports
Rowing,Sports
Running,Sports
Swim,Sports
Tennis,Sports
Wrestling,Sports
General,Sports
Chen,Tai chi
Combination,Tai chi
Hao,Tai chi
Outdoor,Tai chi
Wang,Tai chi
Wu,Tai chi
General,Tai chi
Arms,Weight training
Bodybuilding,Weight training
Butt / legs,Weight training
Chest / back / shoulders,Weight training
Competition,Weight training
Core,Weight training
Full body,Weight training
Power lifting,Weight training
General,Weight training
Anusara,Yoga
Ashtanga,Yoga
Bikram,Yoga
Butti,Yoga
Hatha,Yoga
Heated,Yoga
Iyengar,Yoga
Jivamukti,Yoga
Kids,Yoga
Kundalini,Yoga
Piyo,Yoga
Power / Vinyasa,Yoga
Prenatal,Yoga
Restorative,Yoga
Triyoga,Yoga
Yin / Yang,Yoga
Yoga sculpt,Yoga
General,Yoga
